,customer_city,customer_state,geolocation_city,geolocation_state,order_status,order_purchase_timestamp,order_approved_at,order_delivered_carrier_date,order_delivered_customer_date,order_estimated_delivery_date,shipping_limit_date,payment_type,product_category_name,seller_city,seller_state,product_category_name_english,geolocation_lat,geolocation_lng,order_item_id,price,freight_value,payment_sequential,payment_installments,payment_value,product_name_lenght,product_description_lenght,product_photos_qty,product_weight_g,product_length_cm,product_height_cm,product_width_cm,delivered_est_difference,delivered_purchase_difference
0,other,SP,other,SP,delivered,2017-12-03 15:57:22,2017-12-05 04:12:10,2017-12-06 18:58:57,2017-12-15 22:47:41,2017-12-27,other,boleto,other,other,SP,other,-21.78243154427066,-48.16171723769106,1.0,1058.0,20.43,1.0,1.0,1078.43,63.0,3893.0,1.0,1250.0,26.0,6.0,26.0,11.0,12.0
1,other,other,other,other,delivered,2017-04-04 21:00:40,2017-04-04 21:10:17,2017-04-05 13:34:53,2017-04-11 17:10:33,2017-05-03,other,credit_card,esporte_lazer,other,SP,sports_leisure,-20.27993150652087,-40.29871289260764,1.0,107.0,16.45,1.0,1.0,123.45,38.0,1460.0,1.0,1700.0,17.0,29.0,22.0,21.0,6.0
2,sao paulo,SP,other,SP,delivered,2017-05-31 19:59:58,2017-05-31 20:10:17,2017-06-01 14:48:51,2017-06-06 07:16:47,2017-06-21,other,credit_card,informatica_acessorios,sao jose do rio preto,SP,computers_accessories,-23.64197338190317,-46.64081498320735,1.0,36.9,11.85,1.0,3.0,48.75,59.0,359.0,4.0,900.0,31.0,13.0,26.0,14.0,5.0
3,other,RJ,other,RJ,delivered,2017-12-14 21:35:29,2017-12-14 21:50:26,2017-12-16 03:53:07,2018-01-05 18:22:47,2018-01-12,other,credit_card,other,sao paulo,SP,other,-21.534098072525943,-42.191535302116165,1.0,166.99,21.66,1.0,10.0,188.65,57.0,1620.0,1.0,2350.0,16.0,40.0,16.0,6.0,21.0
4,rio de janeiro,RJ,rio de janeiro,RJ,delivered,2018-01-26 13:31:18,2018-01-29 12:52:07,2018-01-30 19:56:25,2018-02-08 19:38:58,2018-02-22,other,credit_card,other,other,SP,other,-22.925192007501813,-43.219388609210014,1.0,190.83,16.09,1.0,8.0,206.92,59.0,1088.0,2.0,292.0,17.0,8.0,12.0,13.0,13.0
5,sao paulo,SP,sao paulo,SP,delivered,2017-10-24 22:25:24,2017-10-26 02:57:14,2017-10-26 19:59:50,2017-10-27 16:12:59,2017-11-17,other,boleto,other,sao paulo,SP,other,-23.636499126960143,-46.709377108026445,1.0,49.9,7.78,1.0,1.0,57.68,36.0,412.0,5.0,100.0,16.0,5.0,20.0,20.0,2.0
6,other,SP,other,SP,delivered,2018-04-22 13:10:52,2018-04-24 18:29:08,2018-04-26 13:19:00,2018-04-30 21:58:24,2018-05-15,other,credit_card,beleza_saude,other,SP,health_beauty,-20.53283170963181,-47.41758817514091,1.0,53.5,12.81,1.0,2.0,66.31,40.0,409.0,1.0,1110.0,19.0,11.0,18.0,14.0,8.0
7,curitiba,PR,curitiba,PR,delivered,2017-05-17 13:57:00,2017-05-17 14:10:11,2017-05-22 10:36:02,2017-05-29 14:39:49,2017-06-08,other,credit_card,beleza_saude,sao paulo,SP,health_beauty,-25.46184574633615,-49.30140335269144,1.0,239.8,17.93,1.0,6.0,257.73,37.0,904.0,1.0,413.0,17.0,13.0,12.0,9.0,12.0
8,other,SP,other,SP,delivered,2017-11-09 22:46:03,2017-11-09 23:07:03,2017-11-10 20:08:58,2017-11-20 21:41:22,2017-12-01,other,credit_card,other,other,SP,other,-23.249723448237063,-45.898173959057104,1.0,210.9,13.82,1.0,5.0,224.72,36.0,617.0,2.0,480.0,18.0,11.0,14.0,10.0,10.0
9,sao paulo,SP,sao paulo,SP,delivered,2018-01-31 18:02:38,2018-02-02 02:54:01,2018-02-05 16:22:54,2018-02-10 14:33:20,2018-02-22,other,boleto,other,other,SP,other,-23.54385346378897,-46.64723369608748,1.0,16.9,11.85,1.0,1.0,28.75,58.0,300.0,3.0,88.0,21.0,11.0,15.0,11.0,9.0
10,rio de janeiro,RJ,rio de janeiro,RJ,delivered,2018-06-14 01:31:13,2018-06-15 02:37:05,2018-06-15 12:10:00,2018-06-21 20:33:17,2018-07-23,other,boleto,cama_mesa_banho,sao paulo,SP,bed_bath_table,-22.911049781291485,-43.186872777540586,1.0,54.9,18.18,1.0,1.0,73.08,48.0,2154.0,1.0,1800.0,30.0,23.0,11.0,31.0,7.0
11,belo horizonte,MG,belo horizonte,MG,delivered,2018-07-19 18:40:43,2018-07-20 04:45:19,2018-07-20 08:54:00,2018-07-25 20:58:34,2018-08-02,other,boleto,other,sao paulo,SP,other,-19.923501206763284,-43.95274755314791,1.0,32.0,16.43,1.0,1.0,48.43,57.0,529.0,4.0,575.0,16.0,18.0,12.0,7.0,6.0
