,geolocation_lat,geolocation_lng,order_item_id,price,freight_value,payment_sequential,payment_installments,payment_value,product_name_lenght,product_description_lenght,product_photos_qty,product_weight_g,product_length_cm,product_height_cm,product_width_cm,label,customer_city,customer_state,geolocation_city,geolocation_state,order_status,order_purchase_timestamp,order_approved_at,order_delivered_carrier_date,order_delivered_customer_date,order_estimated_delivery_date,shipping_limit_date,payment_type,product_category_name,seller_city,seller_state,product_category_name_english
0,-22.92700791202602,-43.230269990709175,1.0,183.0,16.58,1.0,4.0,199.58,23.0,922.0,1.0,850.0,16.0,19.0,15.0,0,rio de janeiro,RJ,rio de janeiro,RJ,delivered,other,other,other,other,other,other,credit_card,moveis_decoracao,other,other,furniture_decor
1,-22.987642201223363,-43.22879487108312,1.0,115.0,0.0,1.0,10.0,115.0,33.0,523.0,3.0,584.0,16.0,11.0,13.0,1,rio de janeiro,RJ,rio de janeiro,RJ,delivered,other,other,other,other,other,other,credit_card,other,other,SP,other
2,-22.9038262492354,-43.177436455450426,1.0,144.99,17.28,1.0,3.0,162.27,54.0,629.0,1.0,1050.0,36.0,24.0,22.0,1,rio de janeiro,RJ,rio de janeiro,RJ,delivered,other,other,other,other,other,other,credit_card,other,sao paulo,SP,other
3,-22.881837311674143,-43.35888110822908,1.0,10.0,15.1,1.0,5.0,50.2,30.0,690.0,2.0,500.0,25.0,9.0,18.0,1,rio de janeiro,RJ,rio de janeiro,RJ,delivered,other,other,other,other,other,other,credit_card,other,other,SP,other
4,-8.982786451748725,-38.222378468905255,1.0,65.0,25.73,1.0,1.0,90.73,35.0,534.0,2.0,200.0,20.0,10.0,20.0,1,other,other,other,other,delivered,other,other,other,other,other,other,boleto,other,other,SP,other
5,-22.82590322231519,-43.373963766028055,1.0,199.9,21.89,1.0,8.0,221.79,60.0,298.0,1.0,2500.0,33.0,7.0,39.0,0,rio de janeiro,RJ,rio de janeiro,RJ,delivered,other,other,other,other,2018-03-12 00:00:00,other,credit_card,cama_mesa_banho,other,SP,bed_bath_table
6,-8.183975780074155,-34.92032997579382,1.0,229.0,26.05,1.0,10.0,255.05,57.0,217.0,3.0,1900.0,40.0,20.0,30.0,0,other,other,other,other,delivered,other,other,other,other,other,other,credit_card,other,other,SP,other
7,-23.522779445467098,-46.7001040284494,1.0,94.5,34.46,1.0,5.0,128.96,43.0,1023.0,1.0,390.0,19.0,18.0,16.0,1,sao paulo,SP,sao paulo,SP,delivered,other,other,other,other,other,other,credit_card,beleza_saude,other,other,health_beauty
8,-23.489588113990163,-45.154648436097446,1.0,38.0,11.85,1.0,2.0,99.7,45.0,321.0,2.0,200.0,22.0,8.0,16.0,0,other,SP,other,SP,delivered,other,other,other,other,other,other,credit_card,other,other,SP,other
9,-22.940535265017587,-43.56467974702762,1.0,139.0,17.22,1.0,6.0,156.22,60.0,1892.0,2.0,850.0,20.0,9.0,14.0,1,rio de janeiro,RJ,rio de janeiro,RJ,delivered,other,other,other,other,other,other,credit_card,other,other,SP,other
10,-22.284937896474123,-48.541599607825056,1.0,49.0,12.79,1.0,2.0,61.79,52.0,90.0,2.0,5650.0,20.0,30.0,20.0,1,other,SP,other,SP,delivered,other,other,other,other,other,other,credit_card,other,other,SP,other
11,-23.65519060365419,-46.61193687183688,1.0,39.9,11.73,1.0,5.0,51.63,45.0,486.0,2.0,1050.0,40.0,10.0,30.0,1,sao paulo,SP,sao paulo,SP,delivered,other,other,other,other,other,other,credit_card,cama_mesa_banho,other,SP,bed_bath_table
12,-19.89104331462281,-43.904799255159936,1.0,22.99,14.1,1.0,1.0,37.09,31.0,600.0,2.0,500.0,19.0,9.0,16.0,0,belo horizonte,MG,belo horizonte,MG,delivered,other,other,other,other,2018-03-12 00:00:00,other,boleto,informatica_acessorios,sao paulo,SP,computers_accessories
13,-23.96053915237462,-46.33437214542105,1.0,139.9,18.86,1.0,5.0,158.76,44.0,731.0,1.0,500.0,20.0,20.0,30.0,1,other,SP,other,SP,delivered,other,other,other,other,other,other,credit_card,other,other,RJ,other
14,-22.681898539665283,-44.32243330714088,2.0,69.9,12.76,1.0,10.0,156.39,58.0,689.0,1.0,950.0,45.0,15.0,35.0,0,other,SP,other,SP,delivered,other,other,other,other,other,other,credit_card,cama_mesa_banho,ibitinga,SP,bed_bath_table
15,-22.42471507905896,-45.45333454711237,1.0,249.99,28.07,1.0,6.0,278.06,57.0,465.0,1.0,5000.0,42.0,16.0,37.0,1,other,MG,other,MG,delivered,other,other,other,other,other,other,credit_card,cama_mesa_banho,ibitinga,SP,bed_bath_table
16,-14.247193108742282,-42.781636558975656,1.0,600.0,256.13,1.0,1.0,856.13,54.0,744.0,6.0,29700.0,65.0,32.0,82.0,1,other,other,other,other,delivered,other,other,other,other,other,other,boleto,other,sao paulo,SP,other
