,customer_city,customer_state,geolocation_city,geolocation_state,order_status,order_purchase_timestamp,order_approved_at,order_delivered_carrier_date,order_delivered_customer_date,order_estimated_delivery_date,shipping_limit_date,payment_type,product_category_name,seller_city,seller_state,product_category_name_english,geolocation_lat,geolocation_lng,order_item_id,price,freight_value,payment_sequential,payment_installments,payment_value,product_name_lenght,product_description_lenght,product_photos_qty,product_weight_g,product_length_cm,product_height_cm,product_width_cm,label,delivered_est_difference,delivered_purchase_difference
0,rio de janeiro,RJ,rio de janeiro,RJ,delivered,other,other,other,other,other,other,credit_card,moveis_decoracao,other,other,furniture_decor,-22.92700791202602,-43.230269990709175,1.0,183.0,16.58,1.0,4.0,199.58,23.0,922.0,1.0,850.0,16.0,19.0,15.0,0,12,9
1,rio de janeiro,RJ,rio de janeiro,RJ,delivered,other,other,other,other,other,other,credit_card,other,other,SP,other,-22.987642201223363,-43.22879487108312,1.0,115.0,0.0,1.0,10.0,115.0,33.0,523.0,3.0,584.0,16.0,11.0,13.0,1,22,12
2,rio de janeiro,RJ,rio de janeiro,RJ,delivered,other,other,other,other,other,other,credit_card,other,sao paulo,SP,other,-22.9038262492354,-43.177436455450426,1.0,144.99,17.28,1.0,3.0,162.27,54.0,629.0,1.0,1050.0,36.0,24.0,22.0,1,16,14
3,rio de janeiro,RJ,rio de janeiro,RJ,delivered,other,other,other,other,other,other,credit_card,other,other,SP,other,-22.881837311674143,-43.35888110822908,1.0,10.0,15.1,1.0,5.0,50.2,30.0,690.0,2.0,500.0,25.0,9.0,18.0,1,20,11
4,other,other,other,other,delivered,other,other,other,other,other,other,boleto,other,other,SP,other,-8.982786451748725,-38.222378468905255,1.0,65.0,25.73,1.0,1.0,90.73,35.0,534.0,2.0,200.0,20.0,10.0,20.0,1,22,20
5,rio de janeiro,RJ,rio de janeiro,RJ,delivered,other,other,other,other,2018-03-12 00:00:00,other,credit_card,cama_mesa_banho,other,SP,bed_bath_table,-22.82590322231519,-43.373963766028055,1.0,199.9,21.89,1.0,8.0,221.79,60.0,298.0,1.0,2500.0,33.0,7.0,39.0,0,-2,22
6,other,other,other,other,delivered,other,other,other,other,other,other,credit_card,other,other,SP,other,-8.183975780074155,-34.92032997579382,1.0,229.0,26.05,1.0,10.0,255.05,57.0,217.0,3.0,1900.0,40.0,20.0,30.0,0,31,9
7,sao paulo,SP,sao paulo,SP,delivered,other,other,other,other,other,other,credit_card,beleza_saude,other,other,health_beauty,-23.522779445467098,-46.7001040284494,1.0,94.5,34.46,1.0,5.0,128.96,43.0,1023.0,1.0,390.0,19.0,18.0,16.0,1,15,7
8,other,SP,other,SP,delivered,other,other,other,other,other,other,credit_card,other,other,SP,other,-23.489588113990163,-45.154648436097446,1.0,38.0,11.85,1.0,2.0,99.7,45.0,321.0,2.0,200.0,22.0,8.0,16.0,0,6,16
9,rio de janeiro,RJ,rio de janeiro,RJ,delivered,other,other,other,other,other,other,credit_card,other,other,SP,other,-22.940535265017587,-43.56467974702762,1.0,139.0,17.22,1.0,6.0,156.22,60.0,1892.0,2.0,850.0,20.0,9.0,14.0,1,14,8
10,other,SP,other,SP,delivered,other,other,other,other,other,other,credit_card,other,other,SP,other,-22.284937896474123,-48.541599607825056,1.0,49.0,12.79,1.0,2.0,61.79,52.0,90.0,2.0,5650.0,20.0,30.0,20.0,1,7,7
11,sao paulo,SP,sao paulo,SP,delivered,other,other,other,other,other,other,credit_card,cama_mesa_banho,other,SP,bed_bath_table,-23.65519060365419,-46.61193687183688,1.0,39.9,11.73,1.0,5.0,51.63,45.0,486.0,2.0,1050.0,40.0,10.0,30.0,1,10,4
12,belo horizonte,MG,belo horizonte,MG,delivered,other,other,other,other,2018-03-12 00:00:00,other,boleto,informatica_acessorios,sao paulo,SP,computers_accessories,-19.89104331462281,-43.904799255159936,1.0,22.99,14.1,1.0,1.0,37.09,31.0,600.0,2.0,500.0,19.0,9.0,16.0,0,10,8
13,other,SP,other,SP,delivered,other,other,other,other,other,other,credit_card,other,other,RJ,other,-23.96053915237462,-46.33437214542105,1.0,139.9,18.86,1.0,5.0,158.76,44.0,731.0,1.0,500.0,20.0,20.0,30.0,1,14,18
14,other,SP,other,SP,delivered,other,other,other,other,other,other,credit_card,cama_mesa_banho,ibitinga,SP,bed_bath_table,-22.681898539665283,-44.32243330714088,2.0,69.9,12.76,1.0,10.0,156.39,58.0,689.0,1.0,950.0,45.0,15.0,35.0,0,11,5
15,other,MG,other,MG,delivered,other,other,other,other,other,other,credit_card,cama_mesa_banho,ibitinga,SP,bed_bath_table,-22.42471507905896,-45.45333454711237,1.0,249.99,28.07,1.0,6.0,278.06,57.0,465.0,1.0,5000.0,42.0,16.0,37.0,1,8,17
16,other,other,other,other,delivered,other,other,other,other,other,other,boleto,other,sao paulo,SP,other,-14.247193108742282,-42.781636558975656,1.0,600.0,256.13,1.0,1.0,856.13,54.0,744.0,6.0,29700.0,65.0,32.0,82.0,1,19,6
17,other,other,other,other,delivered,other,other,other,other,other,other,credit_card,other,other,other,other,-27.013777986197685,-51.15530570935178,1.0,99.0,39.79,1.0,8.0,138.79,36.0,450.0,1.0,9000.0,42.0,12.0,39.0,0,18,11
18,other,MG,other,MG,delivered,other,other,other,other,other,other,credit_card,other,other,RJ,other,-21.61831059117201,-45.25333932593221,1.0,119.9,15.59,1.0,8.0,135.49,51.0,504.0,2.0,317.0,19.0,15.0,17.0,1,18,9
19,other,other,other,other,delivered,other,other,other,other,other,other,boleto,informatica_acessorios,sao paulo,SP,computers_accessories,-10.934456694725904,-37.06358089829695,1.0,129.9,25.04,1.0,1.0,154.94,59.0,3723.0,1.0,750.0,16.0,9.0,12.0,0,11,9
20,other,RJ,other,RJ,delivered,other,other,other,other,other,other,credit_card,other,other,SP,other,-22.90000961587376,-42.04194113981733,1.0,259.99,66.63,1.0,2.0,326.62,47.0,1194.0,1.0,16650.0,63.0,61.0,24.0,0,11,20
21,other,RJ,other,RJ,delivered,other,other,other,other,other,other,credit_card,other,sao paulo,SP,other,-22.065142886466155,-42.05889346216996,1.0,119.9,21.33,1.0,7.0,141.23,63.0,1047.0,6.0,2850.0,65.0,24.0,16.0,0,-8,36
22,rio de janeiro,RJ,rio de janeiro,RJ,delivered,other,other,other,other,other,other,credit_card,cama_mesa_banho,ibitinga,SP,bed_bath_table,-22.827002774337927,-43.326715584915554,2.0,89.9,21.12,1.0,10.0,222.04,54.0,245.0,1.0,1383.0,50.0,10.0,40.0,0,9,12
